# NASA CMAPs Pre-Split Data
# Alpha: 0.5
# Number of clients: 100
# Total units: 709
# Format: client_id,unit_id,fd_file,data_size,original_file
87,1,FD001,192,train_FD001.txt
87,35,FD002,196,train_FD002.txt
87,46,FD003,204,train_FD003.txt
87,50,FD004,172,train_FD004.txt
87,54,FD004,197,train_FD004.txt
87,59,FD001,231,train_FD001.txt
87,67,FD004,167,train_FD004.txt
87,84,FD003,226,train_FD003.txt
87,104,FD004,203,train_FD004.txt
87,242,FD002,273,train_FD002.txt
34,1,FD002,149,train_FD002.txt
34,11,FD002,271,train_FD002.txt
34,14,FD001,180,train_FD001.txt
34,87,FD004,259,train_FD004.txt
34,154,FD004,203,train_FD004.txt
34,161,FD002,224,train_FD002.txt
34,200,FD004,225,train_FD004.txt
34,233,FD004,289,train_FD004.txt
0,1,FD003,259,train_FD003.txt
0,37,FD001,170,train_FD001.txt
0,77,FD004,148,train_FD004.txt
0,81,FD002,288,train_FD002.txt
0,105,FD004,170,train_FD004.txt
0,256,FD002,163,train_FD002.txt
88,1,FD004,321,train_FD004.txt
88,2,FD001,287,train_FD001.txt
88,44,FD002,205,train_FD002.txt
88,56,FD002,163,train_FD002.txt
88,91,FD002,245,train_FD002.txt
88,144,FD002,224,train_FD002.txt
88,179,FD004,435,train_FD004.txt
88,198,FD002,205,train_FD002.txt
88,202,FD004,241,train_FD004.txt
88,203,FD004,324,train_FD004.txt
88,208,FD002,150,train_FD002.txt
88,227,FD002,184,train_FD002.txt
7,2,FD002,269,train_FD002.txt
7,9,FD001,201,train_FD001.txt
7,15,FD001,207,train_FD001.txt
7,54,FD002,199,train_FD002.txt
7,72,FD003,232,train_FD003.txt
7,76,FD001,210,train_FD001.txt
7,78,FD001,231,train_FD001.txt
7,87,FD002,170,train_FD002.txt
7,96,FD003,491,train_FD003.txt
7,131,FD004,370,train_FD004.txt
7,149,FD002,289,train_FD002.txt
7,217,FD002,162,train_FD002.txt
7,226,FD002,178,train_FD002.txt
7,243,FD002,230,train_FD002.txt
38,2,FD003,253,train_FD003.txt
38,17,FD003,312,train_FD003.txt
38,34,FD003,459,train_FD003.txt
38,100,FD003,152,train_FD003.txt
