# NASA CMAPs Pre-Split Data
# Alpha: 1.0
# Number of clients: 25
# Total units: 709
# Format: client_id,unit_id,fd_file,data_size,original_file
23,1,FD001,192,train_FD001.txt
23,5,FD002,154,train_FD002.txt
23,5,FD004,193,train_FD004.txt
23,9,FD002,199,train_FD002.txt
23,13,FD003,185,train_FD003.txt
23,14,FD004,253,train_FD004.txt
23,32,FD003,189,train_FD003.txt
23,38,FD001,194,train_FD001.txt
23,39,FD003,288,train_FD003.txt
23,40,FD004,206,train_FD004.txt
23,43,FD003,321,train_FD003.txt
23,44,FD002,205,train_FD002.txt
23,45,FD001,158,train_FD001.txt
23,49,FD003,256,train_FD003.txt
23,51,FD003,190,train_FD003.txt
23,55,FD001,193,train_FD001.txt
23,69,FD004,226,train_FD004.txt
23,70,FD003,172,train_FD003.txt
23,72,FD001,213,train_FD001.txt
23,73,FD001,213,train_FD001.txt
23,73,FD004,181,train_FD004.txt
23,86,FD002,190,train_FD002.txt
23,89,FD001,217,train_FD001.txt
23,99,FD003,145,train_FD003.txt
23,106,FD004,266,train_FD004.txt
23,112,FD004,340,train_FD004.txt
23,148,FD004,193,train_FD004.txt
23,159,FD004,288,train_FD004.txt
23,164,FD004,380,train_FD004.txt
23,184,FD002,171,train_FD002.txt
23,190,FD002,257,train_FD002.txt
23,194,FD004,145,train_FD004.txt
23,202,FD004,241,train_FD004.txt
23,217,FD004,200,train_FD004.txt
23,219,FD004,190,train_FD004.txt
23,246,FD004,161,train_FD004.txt
23,249,FD004,255,train_FD004.txt
12,1,FD002,149,train_FD002.txt
12,4,FD004,274,train_FD004.txt
12,12,FD001,170,train_FD001.txt
12,23,FD003,196,train_FD003.txt
12,26,FD001,199,train_FD001.txt
12,34,FD002,205,train_FD002.txt
12,36,FD004,143,train_FD004.txt
12,39,FD004,202,train_FD004.txt
12,48,FD004,322,train_FD004.txt
12,54,FD002,199,train_FD002.txt
12,58,FD004,281,train_FD004.txt
12,75,FD004,230,train_FD004.txt
12,88,FD001,213,train_FD001.txt
12,91,FD003,156,train_FD003.txt
12,95,FD001,283,train_FD001.txt
12,115,FD002,206,train_FD002.txt
12,117,FD002,177,train_FD002.txt
12,162,FD004,313,train_FD004.txt
12,179,FD004,435,train_FD004.txt
12,197,FD002,154,train_FD002.txt
12,209,FD004,161,train_FD004.txt
12,216,FD002,229,train_FD002.txt
12,232,FD004,273,train_FD004.txt
12,238,FD002,156,train_FD002.txt
12,240,FD002,266,train_FD002.txt
12,248,FD004,184,train_FD004.txt
19,1,FD003,259,train_FD003.txt
19,7,FD003,424,train_FD003.txt
19,11,FD002,271,train_FD002.txt
19,17,FD003,312,train_FD003.txt
19,35,FD004,221,train_FD004.txt
19,47,FD002,246,train_FD002.txt
19,48,FD002,239,train_FD002.txt
19,55,FD004,344,train_FD004.txt
19,74,FD004,244,train_FD004.txt
19,78,FD003,221,train_FD003.txt
19,80,FD004,305,train_FD004.txt
19,85,FD002,347,train_FD002.txt
19,87,FD001,178,train_FD001.txt
19,90,FD002,188,train_FD002.txt
19,96,FD004,270,train_FD004.txt
19,98,FD002,167,train_FD002.txt
19,106,FD002,272,train_FD002.txt
19,118,FD002,344,train_FD002.txt
19,227,FD002,184,train_FD002.txt
19,236,FD004,225,train_FD004.txt
19,239,FD002,263,train_FD002.txt
19,246,FD002,194,train_FD002.txt
17,1,FD004,321,train_FD004.txt
17,10,FD003,481,train_FD003.txt
17,17,FD001,276,train_FD001.txt
17,27,FD002,176,train_FD002.txt
17,27,FD004,163,train_FD004.txt
17,29,FD001,163,train_FD001.txt
17,33,FD004,201,train_FD004.txt
17,41,FD004,279,train_FD004.txt
17,43,FD004,223,train_FD004.txt
17,47,FD001,214,train_FD001.txt
17,69,FD001,362,train_FD001.txt
17,71,FD002,194,train_FD002.txt
17,74,FD002,158,train_FD002.txt
17,88,FD003,322,train_FD003.txt
17,103,FD002,280,train_FD002.txt
17,143,FD004,184,train_FD004.txt
17,180,FD004,344,train_FD004.txt
17,185,FD004,259,train_FD004.txt
17,208,FD002,150,train_FD002.txt
17,213,FD002,196,train_FD002.txt
17,220,FD004,202,train_FD004.txt
17,224,FD002,174,train_FD002.txt
17,248,FD002,234,train_FD002.txt
4,2,FD001,287,train_FD001.txt
4,12,FD002,249,train_FD002.txt
4,15,FD002,209,train_FD002.txt
4,16,FD002,154,train_FD002.txt
4,19,FD004,210,train_FD004.txt
4,27,FD003,320,train_FD003.txt
4,52,FD004,357,train_FD004.txt
4,59,FD002,194,train_FD002.txt
4,76,FD003,153,train_FD003.txt
4,80,FD002,221,train_FD002.txt
4,82,FD001,214,train_FD001.txt
4,83,FD001,293,train_FD001.txt
4,83,FD004,184,train_FD004.txt
4,95,FD003,166,train_FD003.txt
4,116,FD002,207,train_FD002.txt
4,120,FD004,177,train_FD004.txt
4,121,FD004,194,train_FD004.txt
4,126,FD002,199,train_FD002.txt
4,131,FD002,280,train_FD002.txt
4,153,FD004,168,train_FD004.txt
4,154,FD004,203,train_FD004.txt
4,166,FD004,269,train_FD004.txt
